rank,Country,Continent,IQ,pop2022
1,Japan,Asia,106.48,123951.692
2,Taiwan,Asia,106.47,23893.394
3,Singapore,Asia,105.89,5975.689
4,Hong Kong,Asia,105.37,7488.865
5,China,Asia,104.1,1425887.337
6,South Korea,Asia,102.35,51815.81
7,Belarus,Europe,101.6,9534.954
8,Finland,Europe,101.2,5540.745
9,Liechtenstein,Europe,101.07,39.327
10,Germany,Europe,100.74,83369.843
11,Netherlands,Europe,100.74,17564.014
12,Estonia,Europe,100.72,1326.062
13,Luxembourg,Europe,99.87,647.599
14,Macau,Asia,99.82,695.168
15,Cambodia,Asia,99.75,16767.842
16,Canada,North America,99.52,38454.327
17,Australia,Oceanian ,99.24,26177.413
18,Hungary,Europe,99.24,9967.308
19,Switzerland,Europe,99.24,8740.472
20,United Kingdom,Europe,99.12,67508.936
21,Greenland,North America,98.89,56.466
22,North Korea,Asia,98.82,26069.416
23,Slovenia,Europe,98.6,2119.844
24,New Zealand,Oceanian ,98.57,5185.288
25,Austria,Europe,98.38,8939.617
26,Iceland,Europe,98.26,372.899
27,Denmark,Europe,97.83,5882.261
28,Belgium,Europe,97.49,11655.93
29,United States of America,North America,97.43,338289.857
30,Norway,Europe,97.13,5434.319
31,Sweden,Europe,97,10549.347
32,France,Europe,96.69,64626.628
33,Poland,Europe,96.35,39857.145
34,Slovakia,Europe,96.32,5643.453
35,Russia,Asia,96.29,144713.314
36,Lithuania,Europe,95.89,2750.055
37,Croatia,Europe,95.75,4030.358
38,Andorra,Europe,95.2,79.824
39,Ireland,Europe,95.13,5023.109
40,Czechia,Europe,94.92,10493.986
41,Latvia,Europe,94.79,1850.651
42,Italy,Europe,94.23,59037.474
43,Vanuatu,Oceanian ,93.92,326.74
44,New Caledonia,Oceanian ,93.92,289.95
45,Spain,Europe,93.9,47558.63
46,Bermuda,North America,93.48,64.184
47,Cyprus,Asia,93.39,1251.488
48,Portugal,Europe,92.77,10270.865
49,Israel,Asia,92.43,9038.309
50,Barbados,North America,91.6,281.635
51,Malta,Europe,91.27,533.286
52,Myanmar,Asia,91.18,54179.306
53,Mongolia,Asia,91.03,3398.366
54,Bulgaria,Europe,90.99,6781.953
55,Greece,Europe,90.77,10384.971
56,Suriname,South America,90.29,618.04
57,Ukraine,Europe,90.07,39701.739
58,Moldova,Europe,89.98,3272.996
